RowID,Year,BranchName,AnnualNumberofVisits
743,2019,College/Shaw,103210
744,2019,Danforth/Coxwell,166953
745,2019,Don Mills,212850
746,2019,Downsview,139493
747,2019,Deer Park,280295
748,2019,Dawes Road,88804
749,2019,Davenport,36185
750,2019,Dufferin/St. Clair,109667
751,2019,Eatonville,225560
752,2019,Elmbrook Park,45225
753,2019,Evelyn Gregory,43655
754,2019,Ethennonnhawahstihnen',171685
755,2019,Eglinton Square,261247
756,2019,Forest Hill,107435
757,2019,Fort York,196094
758,2019,Flemingdon Park,157505
759,2019,Fairview,514987
760,2019,Gerrard/Ashdale,100212
761,2019,Goldhawk Park,153844
762,2019,Guildwood,26595
763,2019,Humber Bay,47611
764,2019,Highland Creek,56329
765,2019,Hillcrest,110800
766,2019,High Park,217479
767,2019,Humber Summit,40175
768,2019,Humberwood,94909
769,2019,Jane/Dundas,158197
770,2019,Jones,75303
771,2019,Jane/Sheppard,89668
772,2019,Kennedy/Eglinton,75312
773,2019,Long Branch,55632
774,2019,Leaside,157656
775,2019,Locke,204120
776,2019,Lillian H. Smith,262069
777,2019,Main Street,118568
778,2019,Malvern,275220
779,2019,Maria A. Shchuka,210369
780,2019,McGregor Park,120802
781,2019,Mount Dennis,77877
782,2019,Merril Collection,10997
783,2019,Mimico Centennial,85449
784,2019,Mount Pleasant,61718
785,2019,Maryvale,126402
786,2019,Morningside,109795
787,2019,Northern District,357327
788,2019,Northern Elms,32994
789,2019,New Toronto,53786
790,2019,Osborne Collection,13582
791,2019,Oakwood Village Library and Arts Centre,99154
792,2019,Pape/Danforth,215656
793,2019,Perth/Dupont,52157
794,2019,Parkdale,181068
795,2019,Parliament Street,98771
796,2019,Palmerston,104919
797,2019,Port Union,82062
798,2019,Pleasant View,73267
799,2019,Queen/Saulter,69777
800,2019,Riverdale,180229
801,2019,Richview,298478
802,2019,Runnymede,291820
803,2019,Rexdale,39099
804,2019,Sanderson,228261
805,2019,Sunnybrook Hospital,18103
806,2019,Scarborough Civic Centre,197245
807,2019,St. Clair/Silverthorn,10366
808,2019,St. James Town,182887
809,2019,St. Lawrence,133158
810,2019,Spadina Road,85425
811,2019,Steeles,162606
812,2019,Swansea Memorial,23836
813,2019,S. Walter Stewart,247041
814,2019,Taylor Memorial,26401
815,2019,Thorncliffe,183994
816,2019,Todmorden Room,34029
817,2019,Toronto Reference Library,1507185
818,2019,Victoria Village,42414
819,2019,Weston,93178
820,2019,Woodview Park,65661
821,2019,Woodside Square,362674
822,2019,Yorkville,134385
823,2019,York Woods,134259
824,2020,Albion,83718
825,2020,Albert Campbell,1607
826,2020,Alderwood,20644
827,2020,Agincourt,81923
828,2020,Armour Heights,16702
829,2020,Annette Street,47198
830,2020,Amesbury Park,19491
831,2020,Brookbanks,35675
832,2020,Black Creek,26946
833,2020,Bendale,20062
834,2020,Beaches,77328
835,2020,Barbara Frum,94156
836,2020,Bookmobile One,4714
837,2020,Bloor/Gladstone,131749
838,2020,Brentwood,83955
839,2020,Bridlewood,84002
840,2020,Burrows Hall,15949
841,2020,Cliffcrest,24853
842,2020,Centennial,52001
843,2020,Cedarbrae,104056
844,2020,City Hall,39487
845,2020,North York Central Library,456052
846,2020,College/Shaw,40324
847,2020,Danforth/Coxwell,71877
848,2020,Don Mills,90920
849,2020,Downsview,60744
850,2020,Deer Park,98871
851,2020,Dawes Road,39629
852,2020,Davenport,7552
853,2020,Dufferin/St. Clair,47531
854,2020,Eatonville,87220
855,2020,Elmbrook Park,15484
